origin,destination,avg_route_delay
BNA,BOS,5.669253152279341
BNA,BUF,0.0
BNA,BUR,2.08955223880597
BNA,BWI,1.316055625790139
BNA,BZN,18.825
BNA,CAK,14.333333333333334
BNA,CHS,0.9531772575250836
BNA,CID,15.976744186046512
BNA,CLE,3.2744565217391304
BNA,CLT,3.4482535575679174
BNA,CMH,1.318840579710145
BNA,DAL,3.4561797752808987
BNA,DCA,1.0298273155416013
BNA,DEN,2.0362364907819455
BNA,DFW,6.164383561643835
BNA,DSM,35.40909090909091
BNA,DTW,-0.8419047619047619
BNA,ECP,4.463636363636364
BNA,EWR,12.96158463385354
BNA,EYW,-0.9090909090909091
BNA,FAR,4.7
BNA,FLL,5.413714285714286
BNA,FNT,23.413793103448278
BNA,FSD,19.033333333333335
BNA,GFK,-15.0
BNA,GPT,24.333333333333332
BNA,GRR,14.511627906976743
BNA,GSO,9.4
BNA,HDN,3.0
BNA,HOU,-1.007587253414264
BNA,IAD,3.4276169265033407
BNA,IAH,3.7301293900184844
BNA,ISP,-0.7972972972972973
BNA,JAX,3.7680798004987532
BNA,JFK,4.247552447552447
BNA,LAS,3.9069423929098965
BNA,LAX,0.23322683706070288
BNA,LGA,5.676502145922747
BNA,LGB,13.615384615384615
BNA,MCI,2.718940936863544
BNA,MCO,6.110367892976589
BNA,MDT,15.945945945945946
BNA,MDW,0.386128364389234
BNA,MFE,-0.125
BNA,MIA,10.826347305389222
BNA,MKE,2.760217983651226
BNA,MLB,1.9375
BNA,MSP,0.8789013732833958
BNA,MSY,3.140740740740741
BNA,MYR,0.26344086021505375
BNA,OAK,0.7558139534883721
BNA,OKC,-6.444444444444445
BNA,OMA,-9.0
BNA,ORD,6.133679735474728
BNA,ORF,-1.102803738317757
BNA,PBI,8.0
BNA,PGD,34.10769230769231
BNA,PHL,2.094774136403897
BNA,PHX,0.7344632768361582
BNA,PIA,23.394736842105264
BNA,PIE,21.46875
BNA,PIT,3.8362573099415203
BNA,PNS,2.5258620689655173
BNA,PSM,17.75
BNA,PVD,-6.333333333333333
BNA,PVU,35.5
BNA,RDU,5.309838472834068
BNA,RIC,-0.6
BNA,ROA,-4.5
BNA,RSW,5.365079365079365
BNA,SAN,0.057692307692307696
BNA,SAT,2.5193548387096776
BNA,SAV,-3.0636363636363635
BNA,SCE,79.0
BNA,SEA,4.251984126984127
BNA,SFB,24.192307692307693
BNA,SFO,11.560386473429952
BNA,SJC,-4.848837209302325
BNA,SJU,0.6666666666666666
BNA,SLC,-2.793918918918919
BNA,SMF,-8.6
BNA,SNA,2.74025974025974
BNA,SRQ,9.047846889952153
BNA,STL,2.2470588235294118
BNA,SYR,6.43859649122807
BNA,TPA,5.424479166666667
BNA,TTN,26.875
BNA,TUL,-9.0
BNA,VPS,4.105504587155964
BNA,XNA,4.68
BOI,ATL,-2.6226415094339623
BOI,AUS,-2.4473684210526314
BOI,AZA,11.975
BOI,BUR,-3.1739130434782608
BOI,DAL,-7.428571428571429
BOI,DEN,3.8132411067193677
BOI,DFW,2.25
BOI,GEG,5.849462365591398
BOI,IAH,-4.787878787878788
BOI,IDA,-2.9411764705882355
BOI,JFK,-50.0
BOI,LAS,7.9979035639413
BOI,LAX,1.1205766710353866
BOI,MDW,-10.5
BOI,MSP,0.2161290322580645
BOI,OAK,-3.707317073170732
BOI,ORD,2.8967032967032966
BOI,PAE,2.9836065573770494
BOI,PDX,-0.2
BOI,PHX,7.344660194174757
BOI,PSP,-0.5384615384615384
BOI,PUW,5.605263157894737
BOI,SAN,-1.1459074733096086
BOI,SEA,-3.045551982851018
BOI,SFO,2.4628501827040195
BOI,SJC,-0.11080332409972299
BOI,SLC,1.3613348676639816
BOI,SMF,2.42
BOI,SNA,4.228571428571429
BOS,ACK,12.413793103448276
BOS,ACY,-1.0
BOS,ATL,2.194849368318756
BOS,AUS,5.976660682226212
BOS,AVL,7.117647058823529
BOS,BGR,2.4594594594594597
BOS,BNA,2.012036108324975
BOS,BUF,7.188034188034188
BOS,BUR,-0.5833333333333334
BOS,BWI,1.156537753222836
BOS,BZN,10.653846153846153
BOS,CHS,2.4551422319474834
BOS,CLE,4.166441136671177
BOS,CLT,0.2959866220735786
BOS,CMH,1.3475046210720887
BOS,CVG,1.0017699115044247
BOS,DAL,8.162790697674419
BOS,DCA,0.8154050464807437
BOS,DEN,-0.9947249434815373
BOS,DFW,0.046476761619190406
BOS,DTW,5.528033472803347
BOS,EWR,8.916490486257928
BOS,EYW,-11.333333333333334
BOS,FLL,8.023686158401185
BOS,FNT,-1.4
BOS,GRR,16.94736842105263
BOS,HDN,8.80952380952381
BOS,HHH,-9.142857142857142
BOS,HNL,22.1875
BOS,HOU,-2.2195121951219514
BOS,HPN,0.37254901960784315
BOS,IAD,1.9298561151079137
BOS,IAH,0.49393939393939396
BOS,ILM,-4.411764705882353
BOS,IND,1.8533094812164579
BOS,JAX,6.794425087108014
BOS,JFK,6.090093936806149
BOS,LAS,4.2785388127853885
BOS,LAX,-0.5082228116710875
BOS,LGA,3.819329024315174
BOS,LGB,0.21052631578947367
BOS,MCI,0.19218241042345277
BOS,MCO,9.297283444387494
BOS,MDW,-2.6322241681260947
BOS,MEM,-4.62962962962963
BOS,MIA,1.760839160839161
BOS,MKE,4.009933774834437
BOS,MSN,-25.5
BOS,MSP,3.153690596562184
BOS,MSY,2.0673758865248226
BOS,MTJ,13.0
BOS,MVY,1.2340425531914894
