origin,destination,month,avg_route_month_delay
ABQ,IAH,4,-2.236842105263158
ABQ,IAH,5,10.945945945945946
ABQ,IAH,6,0.5806451612903226
ABQ,IAH,7,-1.0
ABQ,IAH,8,25.72972972972973
ABQ,IAH,9,2.5833333333333335
ABQ,IAH,10,-10.56
ABQ,IAH,11,21.676470588235293
ABQ,IAH,12,0.047619047619047616
ABQ,JFK,1,-4.25
ABQ,JFK,2,29.0
ABQ,JFK,3,9.928571428571429
ABQ,JFK,4,11.4
ABQ,JFK,5,0.25
ABQ,JFK,6,81.84615384615384
ABQ,JFK,7,45.285714285714285
ABQ,JFK,8,88.66666666666667
ABQ,JFK,9,-8.0
ABQ,JFK,10,19.846153846153847
ABQ,JFK,11,-15.333333333333334
ABQ,JFK,12,95.6470588235294
ABQ,LAS,1,-0.6101694915254238
ABQ,LAS,2,1.1162790697674418
ABQ,LAS,3,13.290322580645162
ABQ,LAS,4,10.015151515151516
ABQ,LAS,5,9.097560975609756
ABQ,LAS,6,6.92
ABQ,LAS,7,12.557692307692308
ABQ,LAS,8,7.410714285714286
ABQ,LAS,9,-2.0606060606060606
ABQ,LAS,10,4.088888888888889
ABQ,LAS,11,3.857142857142857
ABQ,LAS,12,20.36111111111111
ABQ,LAX,1,0.578125
ABQ,LAX,2,-5.574468085106383
ABQ,LAX,3,-1.1428571428571428
ABQ,LAX,4,-2.7454545454545456
ABQ,LAX,5,4.890625
ABQ,LAX,6,8.569620253164556
ABQ,LAX,7,0.012658227848101266
ABQ,LAX,8,-8.380952380952381
ABQ,LAX,9,0.0
ABQ,LAX,10,0.7627118644067796
ABQ,LAX,11,-5.28
ABQ,LAX,12,4.519230769230769
ABQ,MCI,1,-11.666666666666666
ABQ,MCI,2,-2.4444444444444446
ABQ,MCI,3,-13.666666666666666
ABQ,MCI,4,4.25
ABQ,MCI,5,10.0
ABQ,MCI,6,28.0
ABQ,MCI,7,21.625
ABQ,MCI,8,22.8
ABQ,MCI,9,0.0
ABQ,MCI,10,32.5
ABQ,MCI,11,2.2
ABQ,MCI,12,5.4
ABQ,MCO,1,-5.5
ABQ,MCO,3,-2.0
ABQ,MCO,4,-25.0
ABQ,MCO,6,-14.0
ABQ,MCO,7,23.0
ABQ,MCO,8,32.5
ABQ,MDW,1,-4.0
ABQ,MDW,2,2.3043478260869565
ABQ,MDW,3,-1.375
ABQ,MDW,4,-5.238095238095238
ABQ,MDW,5,6.066666666666666
ABQ,MDW,6,4.8
ABQ,MDW,7,25.1
ABQ,MDW,8,1.1764705882352942
ABQ,MDW,9,-4.470588235294118
ABQ,MDW,10,6.8125
ABQ,MDW,11,-4.8
ABQ,MDW,12,13.1
ABQ,MSP,5,-13.0
ABQ,MSP,6,-6.6
ABQ,MSP,7,-8.857142857142858
ABQ,MSP,8,-2.375
ABQ,MSP,9,-12.125
ABQ,MSP,10,15.4
ABQ,MSP,11,-14.0
ABQ,MSP,12,-6.0
ABQ,OAK,1,6.153846153846154
ABQ,OAK,2,-5.1
ABQ,OAK,3,-1.7692307692307692
ABQ,OAK,4,-5.238095238095238
ABQ,OAK,5,5.0625
ABQ,OAK,6,-6.833333333333333
ABQ,OAK,7,-5.916666666666667
ABQ,OAK,8,-6.461538461538462
ABQ,OAK,9,-1.6153846153846154
ABQ,OAK,10,10.272727272727273
ABQ,OAK,11,-1.75
ABQ,OAK,12,-1.4285714285714286
ABQ,ORD,1,-9.487179487179487
ABQ,ORD,2,9.277777777777779
ABQ,ORD,3,-7.375
ABQ,ORD,4,2.6666666666666665
ABQ,ORD,5,-1.037037037037037
ABQ,ORD,6,-2.96875
ABQ,ORD,7,-2.125
ABQ,ORD,8,-6.388888888888889
ABQ,ORD,9,-3.75
ABQ,ORD,10,1.9142857142857144
ABQ,ORD,11,-13.909090909090908
ABQ,ORD,12,1.375
ABQ,PDX,1,16.083333333333332
ABQ,PDX,2,-8.0
ABQ,PDX,3,-5.6
ABQ,PDX,4,-13.11111111111111
ABQ,PDX,5,-13.5
ABQ,PDX,6,22.444444444444443
ABQ,PDX,7,-5.777777777777778
ABQ,PDX,8,3.5
ABQ,PDX,9,-13.142857142857142
ABQ,PDX,10,-15.25
ABQ,PDX,11,-8.714285714285714
ABQ,PDX,12,12.6
ABQ,PHX,1,3.646551724137931
ABQ,PHX,2,1.08
ABQ,PHX,3,0.7133757961783439
ABQ,PHX,4,-4.046153846153846
ABQ,PHX,5,5.196428571428571
ABQ,PHX,6,-0.07377049180327869
ABQ,PHX,7,6.559322033898305
ABQ,PHX,8,0.6752136752136753
ABQ,PHX,9,-0.25274725274725274
ABQ,PHX,10,1.7872340425531914
ABQ,PHX,11,1.9702970297029703
ABQ,PHX,12,2.0217391304347827
ABQ,SAN,1,-11.526315789473685
ABQ,SAN,2,-0.8947368421052632
ABQ,SAN,3,11.208333333333334
ABQ,SAN,4,-1.1481481481481481
ABQ,SAN,5,0.7083333333333334
ABQ,SAN,6,43.391304347826086
ABQ,SAN,7,-2.1578947368421053
ABQ,SAN,8,-1.2666666666666666
ABQ,SAN,9,-10.0
ABQ,SAN,10,-0.9166666666666666
ABQ,SAN,11,-8.285714285714286
ABQ,SAN,12,6.888888888888889
ABQ,SAT,1,27.0
ABQ,SAT,5,-13.5
ABQ,SAT,6,-24.5
ABQ,SAT,7,-4.0
ABQ,SAT,8,-3.0
ABQ,SAT,11,-11.75
ABQ,SEA,1,-4.928571428571429
ABQ,SEA,2,6.0
ABQ,SEA,3,3.375
ABQ,SEA,4,-4.117647058823529
ABQ,SEA,5,11.3125
ABQ,SEA,6,1.9523809523809523
ABQ,SEA,7,2.7
ABQ,SEA,8,-4.222222222222222
ABQ,SEA,9,-7.294117647058823
ABQ,SEA,10,-2.1176470588235294
ABQ,SEA,11,-1.6153846153846154
ABQ,SEA,12,-5.75
ABQ,SFB,6,-43.0
ABQ,SFB,7,-48.0
ABQ,SFB,8,0.0
ABQ,SFO,1,-9.407407407407407
ABQ,SFO,2,-2.238095238095238
ABQ,SFO,3,33.36842105263158
ABQ,SFO,4,52.733333333333334
ABQ,SFO,5,-6.714285714285714
ABQ,SFO,6,74.38888888888889
ABQ,SFO,7,11.964285714285714
ABQ,SFO,8,-0.9473684210526315
ABQ,SFO,9,-1.6923076923076923
ABQ,SFO,10,-9.681818181818182
ABQ,SFO,11,36.95652173913044
ABQ,SFO,12,50.4
ABQ,SJC,1,-12.333333333333334
ABQ,SJC,2,12.0
ABQ,SJC,3,-7.666666666666667
ABQ,SJC,4,5.833333333333333
ABQ,SJC,8,-5.333333333333333
ABQ,SJC,9,5.4
ABQ,SJC,10,16.0
ABQ,SJC,11,83.0
ABQ,SJC,12,5.5
ABQ,SLC,1,-11.457142857142857
ABQ,SLC,2,-13.421052631578947
ABQ,SLC,3,-4.0
ABQ,SLC,4,11.147058823529411
ABQ,SLC,5,-3.0
ABQ,SLC,6,-7.576923076923077
ABQ,SLC,7,22.208333333333332
ABQ,SLC,8,-4.131578947368421
ABQ,SLC,9,-6.75
ABQ,SLC,10,-4.8125
ABQ,SLC,11,-8.03448275862069
ABQ,SLC,12,5.241379310344827
ABR,MSP,1,-2.0
ABR,MSP,2,32.18518518518518
ABR,MSP,3,5.648648648648648
ABR,MSP,4,-15.071428571428571
ABR,MSP,5,-15.115384615384615
ABR,MSP,6,21.7
ABR,MSP,7,-6.857142857142857
ABR,MSP,8,28.0
ABR,MSP,9,5.35
ABR,MSP,10,-8.384615384615385
ABR,MSP,11,3.4347826086956523
ABR,MSP,12,55.45
ABY,ATL,1,-5.088888888888889
ABY,ATL,2,-2.0
ABY,ATL,3,1.653061224489796
ABY,ATL,4,0.3076923076923077
ABY,ATL,5,-0.23076923076923078
ABY,ATL,6,-7.125
ABY,ATL,7,3.742857142857143
ABY,ATL,8,3.3846153846153846
ABY,ATL,9,-1.0526315789473684
